timestamp,endpoint,http_code,time_total
20260322-183300,api,200,0.301673
20260322-183301,api,200,0.249125
20260322-183302,api,200,0.258843
20260322-183304,api,200,0.261853
20260322-183305,api,200,0.253674
20260322-183306,api,200,0.243836
20260322-183308,api,200,0.265253
20260322-183309,api,200,0.184316
20260322-183310,api,200,0.264652
20260322-183311,api,200,0.262657
20260322-183313,api,200,0.296903
20260322-183314,api,200,0.188102
20260322-183315,api,200,0.281471
20260322-183317,api,200,0.293460
20260322-183318,api,200,0.283845
20260322-183319,api,200,0.265473
20260322-183321,api,000,10.002839000,0
20260322-183332,api,000,10.006495000,0
20260322-183343,api,000,10.008764000,0
20260322-183354,api,000,10.002454000,0
20260322-183405,api,200,7.509725
20260322-183414,api,200,0.305925
20260322-183415,api,200,0.235750
20260322-183416,api,200,0.235675
20260322-183417,api,200,0.235550
20260322-183419,api,200,0.289723
20260322-183420,api,200,3.405727
20260322-183424,api,200,0.259799
20260322-183426,api,200,0.431459
20260322-183427,api,200,0.471792
20260322-183429,api,200,0.269361
20260322-183430,api,200,0.179883
20260322-183431,api,200,0.293403
20260322-183433,api,200,0.255831
20260322-183434,api,200,0.509265
20260322-183436,api,200,0.278932
20260322-183437,api,200,0.225484
20260322-183438,api,200,0.275803
20260322-183439,api,200,0.227805
20260322-183441,api,200,0.256173
20260322-183442,api,200,0.272112
20260322-183443,api,200,0.184391
20260322-183445,api,200,0.499276
20260322-183446,api,200,0.284096
20260322-183448,api,200,0.621605
20260322-183449,api,200,0.263530
20260322-183451,api,200,0.260840
20260322-183452,api,200,0.202022
20260322-183453,api,200,0.272046
20260322-183454,api,200,0.263513
20260322-183456,api,200,0.331684
20260322-183457,api,200,0.303617
20260322-183459,api,200,0.247241
20260322-183500,api,200,0.252071
20260322-183501,api,200,0.315096
20260322-183503,api,200,0.249969
20260322-183504,api,200,0.252853
20260322-183505,api,200,0.219578
20260322-183506,api,200,0.254975
20260322-183508,api,200,0.289663
20260322-183509,api,200,0.277212
20260322-183511,api,200,0.290763
20260322-183512,api,200,0.270260
20260322-183513,api,200,0.375059
20260322-183515,api,200,0.279412
20260322-183516,api,200,0.245062
20260322-183517,api,200,0.244633
20260322-183518,api,200,0.235209
20260322-183520,api,200,0.227659
20260322-183521,api,200,0.234521
20260322-183522,api,200,0.331006
20260322-183524,api,200,0.238491
20260322-183525,api,200,0.235440
20260322-183526,api,200,0.319454
20260322-183528,api,200,0.247424
20260322-183529,api,200,0.217181
20260322-183530,api,200,0.213120
20260322-183531,api,200,0.234041
20260322-183533,api,200,0.244175
20260322-183534,api,200,0.286898
20260322-183535,api,200,0.301973
20260322-183537,api,200,0.197715
20260322-183538,api,200,0.183688
20260322-183539,api,200,0.293158
20260322-183541,api,200,0.246365
20260322-183542,api,200,0.219330
20260322-183543,api,200,0.249989
20260322-183544,api,200,0.237227
20260322-183546,api,200,0.237737
20260322-183547,api,200,0.185126
20260322-183548,api,200,0.240171
20260322-183549,api,200,0.328568
20260322-183551,api,200,0.241186
20260322-183552,api,200,0.296723
20260322-183553,api,200,0.291333
20260322-183555,api,200,0.226062
20260322-183556,api,200,0.283573
20260322-183557,api,200,0.218140
20260322-183559,api,200,0.297615
20260322-183600,api,200,0.233153
20260322-183601,api,200,0.446146
20260322-183603,api,200,0.247197
20260322-183604,api,200,0.225487
20260322-183605,api,200,0.242883
20260322-183606,api,200,0.223599
20260322-183608,api,200,0.257012
20260322-183609,api,200,0.301173
20260322-183610,api,200,0.241295
20260322-183612,api,200,0.272522
20260322-183613,api,200,0.284415
20260322-183614,api,200,0.180269
20260322-183616,api,200,0.249054
20260322-183617,api,200,0.388803
20260322-183618,api,200,0.233521
20260322-183620,api,200,0.229745
20260322-183621,api,200,0.187793
20260322-183622,api,200,0.324949
20260322-183624,api,200,0.231954
20260322-183625,api,200,0.375849
20260322-183626,api,200,0.291994
20260322-183628,api,200,0.221680
20260322-183629,api,200,0.239334
20260322-183630,api,200,0.245479
20260322-183632,api,200,0.338919
20260322-183633,api,200,0.185071
20260322-183634,api,200,0.255896
20260322-183636,api,200,0.165699
20260322-183637,api,200,0.300941
20260322-183638,api,200,0.185630
20260322-183639,api,200,0.232087
20260322-183641,api,200,0.239442
20260322-183642,api,200,0.232818
20260322-183643,api,200,0.247048
20260322-183644,api,200,0.287383
20260322-183646,api,200,0.309557
20260322-183647,api,200,0.269629
20260322-183648,api,200,0.181382
20260322-183650,api,200,0.171726
20260322-183651,api,200,0.327755
20260322-183652,api,200,0.278828
20260322-183654,api,200,0.291093
20260322-183655,api,200,0.191046
20260322-183656,api,200,0.172438
20260322-183657,api,200,0.224650
20260322-183659,api,200,0.245416
20260322-183700,api,200,0.172230
20260322-183701,api,200,0.313851
20260322-183703,api,200,0.254622
20260322-183704,api,200,0.170877
20260322-183705,api,200,0.247876
20260322-183706,api,200,0.196665
20260322-183708,api,200,0.252962
20260322-183709,api,200,0.256349
20260322-183710,api,200,0.240023
20260322-183712,api,200,0.270934
20260322-183713,api,200,0.236567
20260322-183714,api,200,0.268146
20260322-183716,api,200,0.228214
20260322-183717,api,200,0.255944
20260322-183718,api,200,0.247146
20260322-183720,api,200,0.272215
20260322-183721,api,200,0.220237
20260322-183722,api,200,0.253649
20260322-183723,api,200,0.265162
20260322-183725,api,200,0.249089
20260322-183726,api,200,0.193015
20260322-183727,api,200,0.237424
20260322-183729,api,200,0.258527
20260322-183730,api,200,0.263882
20260322-183731,api,200,0.247939
20260322-183733,api,200,0.244628
20260322-183734,api,200,0.211188
20260322-183735,api,200,0.194461
20260322-183736,api,200,0.266556
20260322-183738,api,200,0.235751
20260322-183739,api,200,0.231006
20260322-183740,api,200,0.231646
20260322-183742,api,200,0.217425
20260322-183743,api,200,0.250005
20260322-183744,api,200,0.186201
20260322-183745,api,200,0.252826
20260322-183747,api,200,0.264042
20260322-183748,api,200,0.246069
20260322-183749,api,200,0.233672
20260322-183751,api,200,0.311820
20260322-183752,api,200,0.238091
20260322-183753,api,200,0.289870
20260322-183755,api,200,0.184510
20260322-183756,api,200,0.302573
20260322-183757,api,200,0.252841
20260322-183759,api,200,0.283745
20260322-183800,api,200,0.270390
20260322-183801,api,200,0.286283
20260322-183803,api,200,0.253484
20260322-183804,api,200,0.283727
20260322-183805,api,200,0.236991
20260322-183806,api,200,0.304922
20260322-183808,api,200,0.247956
20260322-183809,api,200,0.259644
20260322-183810,api,200,0.234049
20260322-183812,api,200,0.294800
20260322-183813,api,200,0.231634
20260322-183814,api,200,0.185498
20260322-183816,api,200,0.288679
20260322-183817,api,200,0.212421
20260322-183818,api,200,0.173334
20260322-183820,api,200,0.257251
20260322-183821,api,200,0.257700
20260322-183822,api,200,0.222119
20260322-183823,api,200,0.274500
20260322-183825,api,200,0.184240
20260322-183826,api,200,0.238578
20260322-183827,api,200,0.230101
20260322-183829,api,200,0.262926
20260322-183830,api,200,0.168013
20260322-183831,api,200,0.180242
20260322-183832,api,200,0.252967
20260322-183834,api,200,0.237173
20260322-183835,api,200,0.254412
20260322-183836,api,200,0.188157
20260322-183838,api,200,0.310585
20260322-183839,api,200,0.301206
20260322-183840,api,200,0.254615
20260322-183842,api,200,0.228062
20260322-183843,api,200,0.272206
20260322-183844,api,200,0.266337
20260322-183846,api,200,0.252462
20260322-183847,api,200,0.258043
20260322-183848,api,200,0.301391
20260322-183850,api,200,0.166374
20260322-183851,api,200,0.246856
20260322-183852,api,200,0.234003
20260322-183853,api,200,0.178082
20260322-183855,api,200,0.191787
20260322-183856,api,200,0.180787
20260322-183857,api,200,0.260595
20260322-183858,api,200,0.274749
20260322-183900,api,200,0.442526
20260322-183901,api,200,0.252549
20260322-183903,api,200,0.259192
20260322-183904,api,200,0.195352
20260322-183905,api,200,0.192252
20260322-183906,api,200,0.244323
20260322-183908,api,200,0.251676
20260322-183909,api,200,0.255126
20260322-183910,api,200,0.309246
20260322-183912,api,200,0.168099
20260322-183913,api,200,0.340616
20260322-183914,api,200,0.191132
20260322-183916,api,200,0.257996
20260322-183917,api,200,0.291159
20260322-183918,api,200,0.268274
20260322-183920,api,200,0.258012
20260322-183921,api,200,0.186362
20260322-183922,api,200,0.242670
20260322-183923,api,200,0.306557
20260322-183925,api,200,0.238836
20260322-183926,api,200,0.249592
20260322-183927,api,200,0.182753
20260322-183929,api,200,0.250099
20260322-183930,api,200,0.229475
20260322-183931,api,200,0.234628
20260322-183933,api,200,0.310249
20260322-183934,api,200,0.293307
20260322-183935,api,200,0.253595
20260322-183937,api,200,0.239843
20260322-183938,api,200,0.225990
20260322-183939,api,200,0.181134
20260322-183940,api,200,0.303115
20260322-183942,api,200,0.238993
20260322-183943,api,200,0.231481
20260322-183944,api,200,0.302469
20260322-183946,api,200,0.249204
20260322-183947,api,200,0.376490
20260322-183948,api,200,0.299688
20260322-183950,api,200,0.260690
20260322-183951,api,200,0.236611
20260322-183952,api,200,0.231001
20260322-183954,api,200,0.290185
20260322-183955,api,200,0.263190
20260322-183956,api,200,0.310552
20260322-183958,api,200,0.300319
20260322-183959,api,200,0.256749
20260322-184000,api,200,0.299183
20260322-184002,api,200,0.189213
